dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2024-01-16,760.838,500,"kcal","77","30",13,12
2024-01-17,534.165,500,"kcal","37","30",13,12
2024-01-18,530.547,500,"kcal","52","30",14,12
2024-01-19,536.79,500,"kcal","39","30",13,12
2024-01-20,759.722,500,"kcal","87","30",13,12
2024-01-21,1060.2,500,"kcal","132","30",13,12
2024-01-22,738.524,500,"kcal","79","30",14,12
2024-01-23,532.052,500,"kcal","58","30",12,12
2024-01-24,596.689,500,"kcal","61","30",14,12
2024-01-25,550.804,500,"kcal","65","30",12,12
2024-01-26,577.395,500,"kcal","47","30",13,12
2024-01-27,814.465,500,"kcal","112","30",13,12
2024-01-28,946.149,500,"kcal","104","30",12,12
2024-01-29,655.114,500,"kcal","68","30",12,12
2024-01-30,525.436,500,"kcal","45","30",12,12
2024-01-31,702.158,500,"kcal","75","30",14,12
2024-02-01,647.622,500,"kcal","51","30",14,12
2024-02-02,594.474,500,"kcal","62","30",13,12
2024-02-03,847.321,500,"kcal","122","30",13,12
2024-02-04,873.303,500,"kcal","130","30",13,12
2024-02-05,508.458,500,"kcal","40","30",14,12
2024-02-06,500.245,500,"kcal","45","30",16,12
2024-02-07,708.186,500,"kcal","61","30",14,12
2024-02-08,599.187,500,"kcal","68","30",13,12
2024-02-09,587.406,500,"kcal","58","30",16,12
2024-02-10,861.356,500,"kcal","110","30",14,12
2024-02-11,761.583,500,"kcal","106","30",12,12
2024-02-12,692.156,500,"kcal","94","30",13,12
2024-02-13,544.223,500,"kcal","50","30",15,12
2024-02-14,537.871,500,"kcal","51","30",15,12
2024-02-15,514.247,500,"kcal","47","30",12,12
2024-02-16,534.957,500,"kcal","50","30",14,12
2024-02-17,792.151,500,"kcal","116","30",12,12
2024-02-18,505.14,500,"kcal","70","30",13,12
2024-02-19,508.842,500,"kcal","51","30",13,12
2024-02-20,571.896,500,"kcal","56","30",15,12
2024-02-21,518.003,500,"kcal","44","30",12,12
2024-02-22,531.446,500,"kcal","42","30",12,12
2024-02-23,695.601,500,"kcal","100","30",12,12
2024-02-24,781.074,500,"kcal","114","30",12,12
2024-02-25,681.993,500,"kcal","93","30",13,12
2024-02-26,754.441,500,"kcal","120","30",13,12
2024-02-27,748.226,500,"kcal","108","30",14,12
2024-02-28,555.528,500,"kcal","46","30",12,12
2024-02-29,697.228,500,"kcal","84","30",13,12
2024-03-01,560.821,500,"kcal","53","30",13,12
2024-03-02,616.597,500,"kcal","80","30",13,12
2024-03-03,782.049,500,"kcal","95","30",12,12
2024-03-04,501.309,500,"kcal","55","30",14,12
2024-03-05,510.691,500,"kcal","53","30",13,12
2024-03-06,682.119,500,"kcal","94","30",14,12
2024-03-07,589.11,500,"kcal","57","30",10,12
2024-03-08,510.545,500,"kcal","42","30",10,12
2024-03-09,884.827,500,"kcal","111","30",12,12
2024-03-10,1060.17,500,"kcal","134","30",15,12
2024-03-11,502.228,500,"kcal","48","30",13,12
2024-03-12,548.486,500,"kcal","53","30",14,12
2024-03-13,604.852,500,"kcal","75","30",12,12
2024-03-14,583.249,500,"kcal","63","30",14,12
2024-03-15,595.801,500,"kcal","60","30",13,12
2024-03-16,54.203,500,"kcal","6","30",2,12
